date,member,status
2026-01-07,Aisha,absent
2026-01-07,Rohan,present
2026-01-07,Meera,present
2026-01-07,Zaid,present
2026-01-07,Kavya,absent
2026-01-07,Ibrahim,present
2026-01-14,Aisha,present
2026-01-14,Rohan,present
2026-01-14,Meera,present
2026-01-14,Zaid,absent
2026-01-14,Kavya,present
2026-01-14,Ibrahim,present
2026-01-21,Aisha,present
2026-01-21,Rohan,present
2026-01-21,Meera,absent
2026-01-21,Zaid,present
2026-01-21,Kavya,present
2026-01-21,Ibrahim,present
2026-02-04,Aisha,present
2026-02-04,Rohan,absent
2026-02-04,Meera,present
2026-02-04,Zaid,present
2026-02-04,Kavya,present
2026-02-04,Ibrahim,absent
2026-02-11,Aisha,absent
2026-02-11,Rohan,present
2026-02-11,Meera,present
2026-02-11,Zaid,present
2026-02-11,Kavya,absent
2026-02-11,Ibrahim,present
